question;a;b;c;answer;file;level;points;category;box
Jedziesz prawym pasem ruchu. Czy wolno Ci skrÍciÊ w lewo na skrzyøowaniu?;;;;N;IMG_9786_orgbezmaski.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy na tym poboczu dozwolony jest postÛj pojazdu?;;;;N;IMG_0245d5_orgbezmaski.jpg;0;1;A,B,C,D,T,A1,A2,B1,C1,D1;W4
Czy na tym poboczu dozwolone jest zatrzymanie pojazdu niewynikajπce z warunkÛw lub przepisÛw ruchu drogowego?;;;;N;IMG_0245d5_orgbezmaski.jpg;0;1;A,B,C,D,T,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji wolno Ci zmieniÊ pas ruchu, øeby pojechaÊ na wprost?;;;;N;IMG_0248d5_orgbezmaski.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji wolno Ci zawrÛciÊ na widocznym skrzyøowaniu?;;;;T;IMG_0303d5_orgbezmaski.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy jadπc tym pasem ruchu masz prawo zawrÛciÊ na najbliøszym  skrzyøowaniu?;;;;N;IMG_0373d5_orgbezmaski.jpg;0;1;A,B,AM,A1,A2,B1;W4
Czy w tej sytuacji wolno Ci zmieniÊ pas ruchu na znajdujπcy siÍ przy prawej krawÍdzi jezdni?;;;;N;IMG_0400d5_orgbezmaski.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy zatrzymanie pojazdu w tym miejscu w celu ustπpienia pierwszeÒstwa innym kierujπcym pojazdami jest w≥aúciwe?;;;;N;IMG_0827d6_orgbezmaski.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji wolno Ci zatrzymaÊ pojazd na prawym poboczu?;;;;T;IMG_0632(zmiana)d8_orgbezmaski.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy na tym pasie ruchu jazda jest dozwolona tylko w kierunku wskazanym strza≥kπ?;;;;T;0026D14MM_a_orgbez maski.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Kierujesz autobusem wykonujπcym nieodp≥atny przewÛz osÛb. Czy w tej sytuacji wolno Ci wjechaÊ na pas ruchu oznaczony znakiem ""BUS""?";;;;N;152D16_aorgbm.jpg;0;1;D,D1;W4
Kierujesz pojazdem silnikowym. Czy z zajmowanego pasa ruchu wolno Ci pojechaÊ przez skrzyøowanie na wprost?;;;;N;4122D15_aorgbm.jpg;0;1;A,B,C,D,T,A1,A2,B1,C1,D1;W4
Czy w tak oznakowanym miejscu wolno Ci zmieniÊ pas ruchu?;;;;N;0195D14MM_a_orgbezmaski.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w celu wysadzenia pasaøera, wolno Ci zatrzymaÊ pojazd na tym przystanku?;;;;N;W4(23,54,80)org.wmv;0;1;A,B,C,AM,A1,A2,B1,C1;W4
Zamierzasz kontynuowaÊ jazdÍ na wprost. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi nadjeødøajπcemu z lewej strony?;;;;N;KW_D22_445_org_2.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Zamierzasz kontynuowaÊ jazdÍ na wprost. Czy w tej sytuacji masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi nadjeødøajπcemu z prawej strony?;;;;T;KW_D16_256org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Zamierzasz skrÍciÊ w lewo. Czy masz pierwszeÒstwo przed pojazdem nadjeødøajπcym z lewej strony?;;;;T;KW_D16_254org.wmv;0;3;A,B,T,AM,A1,A2,B1;W6
Zamierzasz jechaÊ na wprost. Czy masz pierwszeÒstwo przed pojazdem nadjeødøajπcym z prawej strony?;;;;N;KW_D16_351(1)org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Zamierzasz skrÍciÊ w lewo. Czy masz pierwszeÒstwo przed pojazdem nadjeødøajπcym z lewej strony?;;;;T;KW_D16_353org.wmv;0;3;A,B,AM,A1,A2,B1;W6
Czy jadπc na wprost, masz obowiπzek ustπpiÊ pierwszeÒstwa nadjeødøajπcemu z przeciwka pojazdowi, ktÛry skrÍca w lewo?;;;;N;KW_D16_358org.wmv;0;3;A,B,AM,A1,A2,B1;W6
Czy w tej sytuacji, skrÍcajπc w prawo, masz obowiπzek ustπpiÊ pierwszeÒstwa nadjeødøajπcemu z przeciwka pojazdowi, ktÛry skrÍca w lewo?;;;;N;KW_D16_359org.wmv;0;3;A,B,T,AM,A1,A2,B1;W6
Zamierzasz skrÍciÊ w lewo. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi nadjeødøajπcemu z lewej strony?;;;;T;522.D28KW_org.wmv;0;3;A,B,T,AM,A1,A2,B1;W6
SkrÍcasz w prawo, a nadjeødøajπcy z lewej strony motocyklista zamierza kontynuowaÊ jazdÍ na wprost. Czy masz pierwszeÒstwo przed nim?;;;;T;KW_D22_446_org_2.wmv;0;3;A,B,AM,A1,A2,B1;W6
Jedziesz na wprost. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa kierujπcemu motocyklem?;;;;T;KW_D22_447_org_2.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Zamierzasz skrÍciÊ w lewo. Czy masz pierwszeÒstwo przed pojazdem nadjeødøajπcym z prawej strony?;;;;N;KW_D22_450_org_2.wmv;0;3;A,B,T,AM,A1,A2,B1;W6
Czy jadπc na wprost masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi nadjeødøajπcemu z prawej strony?;;;;T;KW_D22_451_org_2.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Zamierzasz skrÍciÊ w lewo. Czy masz pierwszeÒstwo przed motocyklem?;;;;T;KW_D22_432_org_2.wmv;0;3;A,B,T,AM,A1,A2,B1;W7
Czy w tej sytuacji masz prawo kontynuowaÊ jazdÍ?;;;;N;AK_D10_31_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Zamierzasz zjechaÊ z autostrady. Czy w tej sytuacji masz prawo wyprzedziÊ jadπcπ prawym pasem ciÍøarÛwkÍ?;;;;T;IMG_6769d8-10orgbm.jpg;0;2;A,B,A1,A2;W10
Czy w tej sytuacji naleøy zrezygnowaÊ z manewru wyprzedzania?;;;;T;D26_120org.jpg;0;3;A,B,C,D,AM,A1,A2,B1,C1,D1;W12
Czy w tej sytuacji masz prawo wyprzedziÊ pojazd, ktÛry jedzie przed Tobπ?;;;;T;D38WCz_4_org.wmv;0;3;B;W12
Czy w tej sytuacji masz prawo wyprzedziÊ pojazd, ktÛry jedzie przed Tobπ?;;;;T;D38WCz_10_org.wmv;0;3;B;W12
Czy w tej sytuacji masz prawo wyprzedziÊ pojazd, ktÛry jedzie przed Tobπ?;;;;N;WC_D17_8org.wmv;0;3;B;W12
Czy w tej sytuacji masz prawo wyprzedziÊ rowerzystÍ?;;;;N;D38WCz_3_org.wmv;0;3;B;W12
Czy w tej sytuacji naleøy powstrzymaÊ siÍ od wyprzedzania?;;;;T;D38WCz_6_org.wmv;0;3;B;W12
Kierujesz pojazdem na obszarze zabudowanym. Czy w tej sytuacji masz prawo wyprzedziÊ z prawej strony pojazd jadπcy przed Tobπ?;;;;T;D26_015org.jpg;0;3;A,B,C,D,AM,A1,A2,B1,C1,D1;W12
Czy w tej sytuacji masz obowiπzek pozostaÊ na miejscu wypadku?;;;;T;R_1org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W19
Czy w tej sytuacji masz obowiπzek udzieliÊ niezbÍdnej pomocy ofierze wypadku?;;;;T;R_1org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W19
Czy w tej sytuacji masz obowiπzek zapewniÊ bezpieczeÒstwo ruchu w miejscu wypadku?;;;;T;R_187org.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W19
Czy ten znak oznacza wyjazd z obszaru zabudowanego?;;;;N;IMG_9683d8orgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W3
Czy w tej sytuacji, kontynuujπc jazdÍ, masz obowiπzek zmieniÊ pas ruchu?;;;;T;IMG_6737_1org.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tak oznakowanym miejscu wolno Ci skrÍciÊ w lewo na widoczny przy drodze parking?;;;;N;0656D14MM_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy z tak oznakowanej jezdni wolno Ci zjechaÊ na widoczny po lewej stronie parking?;;;;T;0674D14MM_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji musisz zastosowaÊ siÍ do øÛ≥tych znakÛw poziomych?;;;;T;2145D14MM_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji wolno Ci jechaÊ na wprost z zajmowanego przez Ciebie pasa ruchu?;;;;N;1949D14MM_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji wolno Ci zmieniÊ pas ruchu na lewy, jeøeli zamierzasz skrÍciÊ w lewo?;;;;N;2481D14MM_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy wolno Ci skrÍciÊ w lewo przed przejúciem dla pieszych?;;;;N;0045D14MM_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tym miejscu wolno Ci zmieniÊ pas ruchu, jeøeli zamierzasz pojechaÊ na wprost?;;;;T;2649D14MM_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji masz obowiπzek zatrzymaÊ pojazd przed widocznπ liniπ ciπg≥π?;;;;T;093D16_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji wolno Ci wjechaÊ na skrzyøowanie bez zatrzymania pojazdu przed widocznπ liniπ ciπg≥π?;;;;N;093D16_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy widoczne na tym skrzyøowaniu oznakowanie poziome w postaci linii przerywanej, oznacza kontynuacjÍ zajmowanego pasa ruchu?;;;;T;120D16_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy widoczny trÛjkπtny znak poziomy uprzedza CiÍ o miejscu na drodze, w ktÛrym wystÍpuje lub moøe wystÍpowaÊ niebezpieczeÒstwo?;;;;T;127D16_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy widoczna na jezdni linia, z≥oøona z trÛjkπtÛw, wyznacza miejsce warunkowego zatrzymania siÍ w celu ustπpienia pierwszeÒstwa?;;;;T;177D16_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tak oznakowanym miejscu wolno Ci wyprzedziÊ z lewej strony pojazd znajdujπcy siÍ na Twoim pasie ruchu?;;;;N;0060D14MM_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji wolno Ci wjechaÊ na stacjÍ paliw wjazdem widocznym po lewej stronie?;;;;N;0716D14MM_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy ten znak uprzedza CiÍ o niedawno wprowadzonej zmianie obowiπzujπcych dotychczas zasad pierwszeÒstwa na najbliøszym skrzyøowaniu?;;;;T;IMG_8313d8_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W3
Czy jadπc na wprost bÍdziesz porusza≥ siÍ drogπ z pierwszeÒstwem?;;;;T;0874D14MMorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W3
Czy w tej sytuacji jesteú informowany o koÒcu drogi z pierwszeÒstwem przejazdu?;;;;T;IMG_0731d8orgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W3
Czy za tym znakiem, znajdujπce siÍ na jezdni urzπdzenia wymuszajπce powolnπ jazdÍ, mogπ nie byÊ oznakowane znakami ostrzegawczymi?;;;;T;4562D15_n.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W3
Czy w tak oznakowanej zatoce, moøesz zatrzymaÊ kaødy pojazd w celu wysadzenia pasaøera?;;;;N;IMG_0667d8org.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W3
SkrÍcasz w lewo. Czy w tej sytuacji wolno Ci przejechaÊ przed tramwajem?;;;;T;D23MMX_5org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Czy przejeødøajπc obok tramwaju stojπcego na przystanku nieznajdujπcym siÍ przy chodniku masz obowiπzek zachowaÊ szczegÛlnπ ostroønoúÊ?;;;;T;287TRAM2org.jpg;0;3;PT;P12
Czy w tej sytuacji droga z pierwszeÒstwem przejazdu koÒczy siÍ na najbliøszym skrzyøowaniu?;;;;N;IMG_6730org.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W3
Czy w tej sytuacji nadawany sygna≥ úwietlny zabrania Ci wjazdu za sygnalizator?;;;;T;322D12_a_org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy uczestniczπc w wypadku, w ktÛrym sπ zabici lub ranni, masz prawo oddaliÊ siÍ z miejsca wypadku, gdy przybÍdπ s≥uøby nadzoru ruchu?;;;;N;;0;2;PT;P16
Czy uczestniczπc w wypadku, w ktÛrym sπ zabici lub ranni, masz prawo zaczπÊ samodzielnie usuwaÊ jego skutki - sprzπtaÊ, przygotowywaÊ tramwaj do holowania itp.?;;;;N;;0;2;PT;P16
Czy w tej sytuacji zabroniony jest TwÛj wjazd na skrzyøowanie?;;;;N;099D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy widoczny nad Twoim pasem ruchu sygna≥ úwietlny zobowiπzuje CiÍ do zatrzymania siÍ przed sygnalizatorem?;;;;N;003D13_a_org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy nastÍpny sygna≥ bÍdzie Ci zabrania≥ wjazdu na skrzyøowanie?;;;;N;131D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy w tej sytuacji nastÍpnym sygna≥em bÍdzie sygna≥ czerwony?;;;;N;1026D18_a_org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy sygna≥ úwietlny nad Twoim pasem ruchu zezwala na skrÍt w lewo?;;;;T;117D16_a_org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Zatrzyma≥eú w≥aúnie swÛj pojazd. Czy w zwiπzku ze znaczeniem nadawanego sygna≥u úwietlnego zrobi≥eú to we w≥aúciwym miejscu?;;;;N;IMG_0555orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy w tej sytuacji masz obowiπzek zastosowaÊ siÍ do sygna≥u podawanego przez widocznπ osobÍ?;;;;T;IMG_9391d8orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy w przedstawionej sytuacji wolno Ci kontynuowaÊ jazdÍ?;;;;N;249D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy w tej sytuacji masz obowiπzek zatrzymaÊ pojazd?;;;;T;229D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy w tej sytuacji skrÍcanie w prawo jest zabronione nawet wtedy, gdy nie utrudni to poruszania siÍ innym uczestnikom ruchu drogowego?;;;;T;187D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy widoczny sygna≥ dawany przez osobÍ uprawnionπ oznacza, øe za chwilÍ bÍdzie Ci wolno wjechaÊ na skrzyøowanie?;;;;T;092D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy sygna≥, ktÛry daje policjant, zezwala na wjazd na skrzyøowanie?;;;;T;146D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy w przedstawionej sytuacji masz obowiπzek zatrzymaÊ siÍ?;;;;T;022D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy w tej sytuacji wolno Ci skrÍciÊ w prawo, jeøeli nie utrudniasz nikomu ruchu?;;;;N;186D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy sygna≥, ktÛry daje policjant, zabrania wjazdu na skrzyøowanie?;;;;N;140D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy w tej sytuacji masz prawo pojechaÊ przez skrzyøowanie na wprost?;;;;T;004D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy w tej sytuacji masz prawo przejechaÊ przez skrzyøowanie na wprost?;;;;N;022D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy w tej sytuacji masz obowiπzek zastosowaÊ siÍ do sygna≥u osoby kierujπcej ruchem?;;;;T;022D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy w tej sytuacji masz obowiπzek zastosowaÊ siÍ do sygna≥u úwietlnego?;;;;N;022D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy w tej sytuacji masz obowiπzek zastosowaÊ siÍ do sygna≥u osoby kierujπcej ruchem?;;;;T;004D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy w tej sytuacji masz obowiπzek zastosowaÊ siÍ do sygna≥u úwietlnego?;;;;N;004D11orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy w tej sytuacji, zmieniajπc pas ruchu, masz obowiπzek zachowaÊ szczegÛlnπ ostroønoúÊ?;;;;T;IMG_8184d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W15
Czy masz obowiπzek zachowaÊ bezpieczny odstÍp od wymijanego pojazdu?;;;;T;IMG_6361d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W13
Czy masz obowiπzek zachowaÊ bezpieczny odstÍp od omijanego pojazdu?;;;;T;7377_aorgbm.jpg;0;2;A,B,C,D,A1,A2,C1,D1;W13
Czy masz obowiπzek zachowaÊ bezpieczny odstÍp od omijanej przeszkody?;;;;T;IMG_6258d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W13
Czy masz obowiπzek zachowaÊ odstÍp co najmniej 1 metra od omijanego obiektu?;;;;N;IMG_6258d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W13
Czy w tej sytuacji masz prawo zachowaÊ dowolny odstÍp od wymijanego samochodu ciÍøarowego?;;;;N;IMG_6361d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W13
Czy omijajπc widoczny po lewej stronie obiekt, masz obowiπzek zachowania bezpiecznego odstÍpu?;;;;T;d9_24org.wmv;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W13
Czy w przedstawionej sytuacji jesteú ostrzegany o trzech niebezpiecznych zakrÍtach, z ktÛrych pierwszy jest w lewo?;;;;T;2413D15org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy znak zakazu umieszczony na prawej jezdni oznacza, øe jest ona zamkniÍta dla ruchu?;;;;T;D20_0079org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W2
Kierujesz pojazdem na drodze oznaczonej tym znakiem pionowym. Czy na odcinku za znakiem wolno Ci zatrzymaÊ pojazd, aby wysadziÊ pasaøera?;;;;N;IMG_8078n.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W3
Czy widoczne oznakowanie poziome wskazuje miejsce zatrzymania siÍ w celu ustπpienia pierwszeÒstwa?;;;;T;0147D14MM_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
"Czy w tej sytuacji, po wjechaniu za sygnalizator, masz obowiπzek zatrzymaÊ siÍ w miejscu wskazanym znakiem ""stop""?";;;;N;D24MMXorg.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Czy zaøycie przez prowadzπcego pojazd niewielkiej iloúci narkotyku wp≥ywa na poprawÍ zdolnoúci do prawid≥owej oceny ryzyka na drodze?;;;;N;;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W20
Czy w tej sytuacji motorniczy posiada pierwszeÒstwo przejazdu przed pojazdami poruszajπcymi siÍ drogπ poprzecznπ?;;;;T;206TRAM2.wmv;0;3;PT;P5
Czy w tej sytuacji, motorniczy posiada pierwszeÒstwo przejazdu przed pojazdami jadπcymi po najbliøszej poprzecznej jezdni?;;;;N;207TRAM1org.wmv;0;3;PT;P5
Czy w tej sytuacji motorniczy ma obowiπzek ustπpiÊ pierwszeÒstwa przejazdu tramwajom poruszajπcym siÍ po torowisku poprzecznym?;;;;T;211TRAM2org.wmv;0;3;PT;P5
Zamierzasz skrÍciÊ w lewo. Czy masz pierwszeÒstwo przed pojazdem jadπcym z kierunku przeciwnego na wprost?;;;;N;D23MMX_8org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Zamierzasz skrÍciÊ w lewo. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi szynowemu?;;;;T;D23MMX_6org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Czy w tej sytuacji, zanim skrÍcisz w prawo, masz obowiπzek zatrzymaÊ siÍ przed sygnalizatorem?;;;;T;D23MMX_3org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Przejeødøasz przez skrzyøowanie. Czy ruch na drodze poprzecznej jest zamkniÍty?;;;;T;D20MMXorg.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Zamierzasz skrÍciÊ w lewo na skrzyøowaniu. Czy w tej sytuacji naleøy przyúpieszyÊ, aby zdπøyÊ przejechaÊ przed pojazdami nadjeødøajπcymi z przeciwka?;;;;N;D23MMXorg.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Czy kierujπcy pojazdem po spoøyciu alkoholu, moøe mieÊ trudnoúci w jednoczesnym wykonywaniu dwÛch i wiÍcej czynnoúci?;;;;T;;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W20
Czy w tej sytuacji masz obowiπzek zastosowaÊ siÍ do pionowego znaku ostrzegawczego ""ustπp pierwszeÒstwa""?";;;;N;D23MMX_12org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Zamierzasz jechaÊ na wprost. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi nadjeødøajπcemu z prawej strony?;;;;N;D23MMX_14org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
KtÛrπ z wymienionych czynnoúci powinieneú wykonaÊ, aby p≥ynnie ruszyÊ z miejsca?;Stopniowo zwalniaÊ peda≥ sprzÍg≥a.;Gwa≥townie zwolniÊ peda≥ sprzÍg≥a.;Najpierw znacznie zwiÍkszyÊ obroty silnika, nastÍpnie szybko zwolniÊ peda≥ sprzÍg≥a.;A;;1;2;B,B1;B6
Zamierzasz jechaÊ na wprost. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi z przeciwka skrÍcajπcemu w lewo?;;;;N;D26MM_18org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Czy za tym znakiem, w razie zatrzymania pojazdu wskutek zatoru drogowego, masz obowiπzek zachowaÊ odstÍp od poprzedzajπcego pojazdu nie mniejszy niø 5m?;;;;T;IMG_8078n.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W3
Czego nie masz prawa robiÊ, gdy kierujesz samochodem osobowym?;PrzewoziÊ osÛb w stanie nietrzeüwoúci.;KorzystaÊ z telefonu wymagajπcego trzymania mikrofonu w rÍku.;UøywaÊ tempomatu na obszarze zabudowanym.;B;;1;2;B;B7
Czy w tej sytuacji masz prawo zatrzymaÊ siÍ w zatoce w celu wysadzenia pasaøera?;;;;N;AK_D03_01_org_2.wmv;0;2;A,B,C,T,AM,A1,A2,B1,C1;W10
Czy w tej sytuacji masz prawo wyprzedziÊ pojazd, ktÛry jedzie przed Tobπ?;;;;N;WC_d17_24org_skrocenie.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W12
Czy w tej sytuacji masz prawo kilkukrotnie uøyÊ sygna≥u düwiÍkowego, zamiast zatrzymaÊ pojazd?;;;;N;532.D28KW_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W14
Zamierzasz zawrÛciÊ. Czy w tej sytuacji wystπpi kolizja z tramwajem?;;;;N;D23MMX_5org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Czy w tej sytuacji dozwolone jest uøycie sygna≥u düwiÍkowego?;;;;N;615.D29GMorg.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W14
Czy przy omijaniu nietrzeüwego rowerzysty naleøy zwiÍkszyÊ odstÍp od niego?;;;;T;2782D15orgbm.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W17
Zamierzasz jechaÊ na wprost. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi nadjeødøajπcemu z przeciwka, skrÍcajπcemu w lewo?;;;;N;D23MMX_10org.wmv;0;3;A,B,C,D,AM,A1,A2,B1,C1,D1;W8
Zamierzasz skrÍciÊ w prawo. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi jadπcemu z przeciwka, ktÛry zamierza skrÍciÊ w lewo?;;;;N;D23MMX_10org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Czy moøesz przejechaÊ przed pojazdem szynowym?;;;;T;D23MMX_15org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Zamierzasz jechaÊ na wprost. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi z przeciwka, skrÍcajπcemu w lewo?;;;;N;D23MMX_16org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Zamierzasz jechaÊ na wprost. Czy masz pierwszeÒstwo przed pojazdami widocznymi na skrzyøowaniu?;;;;T;D23MMX_16org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Zamierzasz jechaÊ na wprost. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa tramwajowi skrÍcajπcemu w lewo?;;;;N;D23MMX_17org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Zamierzasz skrÍciÊ w lewo. Czy masz pierwszeÒstwo przed pojazdami jadπcymi z kierunku przeciwnego na wprost?;;;;N;D23MMX_18org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
